23-08-21 17:54:20.964 : Beta-------------------------------->0
23-08-21 17:54:20.965 : Writing to denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_exp/image_samples/msi_sigma_0,05_withoutmaskandreinit_continue_current_iteration_1000-2000_0-0_beta_0_iterpoint_60_lr_0.0005
23-08-21 17:54:20.965 : Writing log file to denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_logger_withoutmaskandreinit_continue_current_iteration_1000-2000_0-0_beta_0_iterpoint_60_lr_0.0005
23-08-21 17:54:26.099 : iteration: 78, psnr: 5.898315690872744, psnr_best: 5.898315690872744
23-08-21 17:54:26.130 : iteration: 79, psnr: 5.903295308823317, psnr_best: 5.903295308823317
23-08-21 17:54:26.150 : iteration: 80, psnr: 5.896617720603388, psnr_best: 5.903295308823317
23-08-21 17:54:26.170 : iteration: 81, psnr: 5.900751182076398, psnr_best: 5.903295308823317
23-08-21 17:54:26.195 : iteration: 82, psnr: 5.903869750848402, psnr_best: 5.903869750848402
23-08-21 17:54:26.213 : iteration: 83, psnr: 5.903426856727733, psnr_best: 5.903869750848402
23-08-21 17:54:26.234 : iteration: 84, psnr: 5.896727209732, psnr_best: 5.903869750848402
23-08-21 17:54:26.263 : iteration: 85, psnr: 5.905580909726092, psnr_best: 5.905580909726092
23-08-21 17:54:26.283 : iteration: 86, psnr: 5.90690642719505, psnr_best: 5.90690642719505
23-08-21 17:54:26.301 : iteration: 87, psnr: 5.905532956611619, psnr_best: 5.90690642719505
23-08-21 17:54:26.324 : iteration: 88, psnr: 5.906893629346297, psnr_best: 5.90690642719505
23-08-21 17:54:26.346 : iteration: 89, psnr: 5.908211013445079, psnr_best: 5.908211013445079
23-08-21 17:54:26.368 : iteration: 90, psnr: 5.9066418398351, psnr_best: 5.908211013445079
23-08-21 17:54:26.387 : iteration: 91, psnr: 5.907593995548126, psnr_best: 5.908211013445079
23-08-21 17:54:26.407 : iteration: 92, psnr: 5.90846933078342, psnr_best: 5.90846933078342
23-08-21 17:54:26.445 : iteration: 93, psnr: 5.912680556255506, psnr_best: 5.912680556255506
23-08-21 17:54:26.475 : iteration: 94, psnr: 5.913806380583635, psnr_best: 5.913806380583635
23-08-21 17:54:26.498 : iteration: 95, psnr: 5.905710662812611, psnr_best: 5.913806380583635
23-08-21 17:54:26.517 : iteration: 96, psnr: 5.911375735155069, psnr_best: 5.913806380583635
23-08-21 17:54:26.535 : iteration: 97, psnr: 5.912101564425869, psnr_best: 5.913806380583635
23-08-21 17:54:26.555 : iteration: 98, psnr: 5.915473086456354, psnr_best: 5.915473086456354
23-08-21 17:54:26.573 : iteration: 99, psnr: 5.912488403990231, psnr_best: 5.915473086456354
23-08-21 17:54:26.591 : iteration: 100, psnr: 5.914425793616557, psnr_best: 5.915473086456354
23-08-21 17:54:26.612 : iteration: 101, psnr: 5.917725675830831, psnr_best: 5.917725675830831
23-08-21 17:54:26.630 : iteration: 102, psnr: 5.916789859409434, psnr_best: 5.917725675830831
23-08-21 17:54:26.650 : iteration: 103, psnr: 5.917088610422777, psnr_best: 5.917725675830831
23-08-21 17:54:26.668 : iteration: 104, psnr: 5.9154557594518895, psnr_best: 5.917725675830831
23-08-21 17:54:26.688 : iteration: 105, psnr: 5.919511027534692, psnr_best: 5.919511027534692
23-08-21 17:54:26.709 : iteration: 106, psnr: 5.925806644683252, psnr_best: 5.925806644683252
23-08-21 17:54:26.728 : iteration: 107, psnr: 5.918005960299078, psnr_best: 5.925806644683252
23-08-21 17:54:26.748 : iteration: 108, psnr: 5.914800894040132, psnr_best: 5.925806644683252
23-08-21 17:54:26.765 : iteration: 109, psnr: 5.916494835954461, psnr_best: 5.925806644683252
23-08-21 17:54:26.786 : iteration: 110, psnr: 5.926496839907259, psnr_best: 5.926496839907259
